pe,roe,debt,assetturnover,rdgrow,roic,rop,netincomeprofit,quickratio,incomegrow,netprofitgrow,cashflowgrow
851.71,36.97,24.31,0.91,84.37,22.71,35.01,418.4,2.28,69.32,1045.39,66.19
437.93,32.77,22.84,0.9,69.15,21.72,79.62,312.92,3.75,62.96,194.31,723.18
387.54,30.6,59.05,0.94,59.88,1.81,10.93,143.97,1.17,59.49,10.19,648.22
337.62,27.28,23.8,0.37,52.33,22.5,116.83,98.7,3.33,49.3,41.6,130.8
328.84,24.49,41.46,0.53,51.39,27.67,72.4,94.07,1.35,42.35,108.65,14.27
300.51,24.33,60.52,1.18,46.45,19.05,13.92,93.26,1.35,39.82,20.34,-31.3
253.01,23.99,27.69,0.47,41.69,10.76,54.01,92.66,2.25,34.38,-5.18,-71.51
247.4,23.74,11.33,0.37,40.62,6.6,52.07,91.64,9.16,30.86,28.94,40.08
201.4,21.14,14.15,0.44,40.06,13.14,186.22,91.35,5.88,28.14,37.57,-406.47
187.34,20.98,45.7,0.6,33.46,5.3,14.95,90.65,1.01,26.15,-41.16,41.58
179.88,20.2,48.57,0.65,33.27,4.05,10.53,89.79,1.36,25.61,9.55,52.75
166.23,19.56,36.2,0.77,32.62,17.56,29.22,87.84,0.99,24.74,25.8,21.39
162.3,18.48,28.4,0.33,32.07,0.41,-3.34,87.59,2.95,23.98,-94.5,233.68
157.84,17.37,48.24,0.65,30.77,14.45,31.14,84.44,1.54,23.62,13.96,-41.56
152.64,17.22,51.84,0.73,29.72,15.06,41.15,83.48,1.1,21.14,28.79,19.19
148.05,17.2,52.71,0.52,25.32,9.34,35.46,83.12,1.01,21.06,63.09,-24.95
144.79,17.14,30.41,0.67,22.71,9.96,28.59,82.78,1.82,18.9,42.06,-43.86
142.28,16.73,28.29,0.43,21.29,19.42,95.22,82.68,2.7,18.66,44.12,16.77
141.85,16.51,20.56,0.46,21,14.77,81.77,82.22,4.32,17.18,25.6,44.24
139.89,16.5,9.32,0.33,19.7,4.64,67.55,81.77,10.49,15.11,-20.36,106.45
127.13,16.41,6.68,0.72,19.62,9.85,132.61,81.36,20.16,15.01,68.83,40.42
126.58,15.62,18.97,0.52,17.39,20.14,287.37,75.09,3.89,14.17,63.93,160.63
125.54,15.25,33.29,0.45,15.83,7.36,46.54,74.21,1.76,13.38,-14.43,-54.71
115.6,14.97,14.89,0.26,11.06,11.22,76.68,73.78,5.52,10.46,9.58,30.53
111.18,13.94,23.23,0.24,9.5,8.06,124.84,73.45,1.91,7.84,15.65,-30.85
108.83,13.91,34.39,0.56,3.82,0.27,19.12,72.8,1.12,-9.1,-65.85,-154.97
107.01,13.69,15.68,0.95,3.21,5.59,37.93,72.32,5.12,-0.48,-44.37,83.98
106.1,13.33,9.07,0.28,0.77,8.42,81.67,68.23,10.64,23.23,33.52,-15.81
105.76,13.11,27.39,0.62,52.5,7.15,35.65,67.87,2.07,60.9,34.44,25.37
101.06,12.86,38.93,0.51,90.44,12.93,47.25,67.02,1.85,17.62,36.89,-22.67
100.46,12.79,3.17,0.29,46.93,11.45,356.49,66.92,37.31,53.33,76.73,72.12
99.93,12.71,29.33,0.82,18.93,10.85,91.44,66.09,3.3,2.7,5.94,-59.61
99.05,12.65,31.73,0.65,64.43,7.53,21.82,62.66,3.04,20.56,139.94,504.75
98.73,12.27,28.63,0.62,34.61,5.49,16.37,62.14,3.46,50.66,21.7,125.58
95.87,12.13,37.07,0.65,11.59,6.7,48.21,59.85,2.08,51.62,-6.21,-365.78
95.46,11.93,22.44,0.88,59.56,12.32,34.63,59.56,4.23,28.78,11.63,43.01
94.89,11.76,9.16,0.39,31.42,8.98,77.55,58.31,10.83,23,51.16,330.23
92.32,11.75,17.55,0.48,28.88,11.07,67.29,54.79,2.76,30.35,9.6,216.68
91.56,11.71,31.01,0.46,499.27,5.66,58.58,50.3,2.16,5.79,-22.47,60.95
90.25,11.6,40.53,0.41,237.79,1.96,40.05,49.37,1.49,24.04,35.37,309.52
88.75,11.16,41.62,0.57,230.72,6.35,37.78,38.03,1.39,27.3,52.61,33.39
86.87,11.06,23.65,0.41,148.73,9.64,72.35,36.46,2.13,32.61,28.92,88.31
86.83,11.04,22.28,0.47,133.57,10.54,0,34.52,3.14,20.08,-2.79,4669.23
86.5,11.01,10.15,1.1,130.13,4.1,30.31,21.86,16.73,63.08,-20.13,-50.49
86.43,10.9,11.17,0.42,92.91,7.18,56.79,7.92,6.51,26.72,56.93,-50.5
84.69,10.78,51.99,0.73,92.07,8.74,18.9,-13.65,1.09,23.88,38.45,5.62
84.05,10.51,25.63,0.99,77.76,6.49,6.76,-5.65,2.62,18.21,18.72,14.44
83.9,10.51,57.79,0.65,76.65,8.44,318.72,78.83,0.41,14.79,80.32,321.21
83.46,10.36,18.62,0.48,74.56,11.96,152.3,27.5,4.42,16.68,-0.19,-344.78
82.98,10.2,7.93,0.43,62.41,8.73,24.86,91,7.63,7.74,39.87,50.42
80.47,10.2,9.11,0.29,61.37,8.22,168.8,45.25,10.39,-19.09,-4.13,-78.28
79.76,10.15,14.73,0.25,59.36,3.01,29.49,89.9,3.37,-19.64,-28.26,206.8
78.29,10.14,69.79,0.31,49.08,4.51,234.69,80.4,0.64,26.64,16.8,160.57
78.09,8.1,15.14,0.57,47.86,6.56,28.53,36.66,6.67,19.97,32.12,72.17
77.89,12.7,32.28,0.6,43.8,7.79,27.98,72.52,2.17,15.13,3.58,24.95
77.55,7.8,21.03,0.52,43.07,6.56,33.39,84.08,4.46,42.01,31.28,-1128.84
77.02,11.5,67.88,0.71,42.25,6.3,37.77,80.87,0.93,17.4,7.92,-141.52
75.81,14.9,49.28,0.52,40.41,0.92,21.08,36.03,1.21,30,48.34,11.84
74.79,11.61,23.32,1.33,39.91,3.68,71.16,15.02,2.16,-14.36,82.33,837.46
74.42,12.19,18.06,0.43,39.69,8.85,51.67,78.5,4.43,-4.34,-16.87,290.52
74.08,5.67,6.04,0.36,39.46,7.33,155.17,77.01,15.5,27.33,22.51,27.22
73.86,6.17,29.2,0.69,39.28,12.06,64.91,91.6,2.13,17.69,93.04,-4.39
72.34,10.41,42.87,0.63,39.2,4.59,63.2,69.14,1.06,20.44,-31.34,-1340.55
72.03,4.01,28.94,0.54,38.19,9.65,54.13,77.21,1.82,29.17,-4.43,451.34
71.85,12.74,33.9,0.46,34.21,5.8,36.11,44.75,1.97,12.66,7.16,127.2
71.61,12.48,41.29,0.75,33.09,4.91,41.88,77.58,1.34,48.14,-34.14,-274.44
71.31,5.03,36.1,0.95,32.66,6.91,33.07,90.09,2.05,32.36,47.83,251
71.26,1.77,26.86,0.44,32.57,11.1,79.71,72.2,1.52,14.69,44.81,-52.76
71.06,10.57,47.05,0.63,31.45,5.92,73.72,91.13,1.62,30.14,-5.13,-134.79
